,state_code,state_name,site_number,local_site_name,county_code,total_params,Ozone,PM2.5 - Local Conditions,Carbon monoxide,Outdoor Temperature,Relative Humidity ,Solar radiation,Wind Direction,Wind Speed,Nitrogen dioxide (NO2),Ultraviolet radiation,Barometric pressure,Wind Direction - Scalar,Wind Speed - Resultant,Wind Speed - Scalar,Wind Direction - Resultant
3,08,Colorado,0007,Rocky Mountain NP - Long's Peak,069,6.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,08,Colorado,0101,Mesa Verde NP - Resource Management Area,083,6.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,08,Colorado,3001,Welby,001,6.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,08,Colorado,0006,ROCKY FLATS-N,059,5.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,08,Colorado,0004,Chatfield State Park,035,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,08,Colorado,0009,Greeley - Weld County Tower,123,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,08,Colorado,0011,NATIONAL RENEWABLE ENERGY LABS - NREL,059,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,08,Colorado,0013,U.S. AIR FORCE ACADEMY,041,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,08,Colorado,0016,MANITOU SPRINGS,041,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,09,Connecticut,0027,Criscuolo Park-New Haven,009,6.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,09,Connecticut,0005,Mohawk Mt-Cornwall,005,4.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2,09,Connecticut,1003,McAuliffe Park,003,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,09,Connecticut,1123,Western Conn State Univ,001,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,09,Connecticut,9003,Sherwood Island Connector,001,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,09,Connecticut,0017,Greenwich Point Park,001,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,09,Connecticut,1001,Shenipsit State Forest,013,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,09,Connecticut,3007,USGS Lighthouse,001,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10,Delaware,0002,PROPERTY OF KILLENS POND STATE PARK; BEHIND FARM BUILDINGS,001,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,10,Delaware,1002,Seaford Shipley State Service Center,005,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,10,Delaware,1003,"Lewes SPM SITE, NEAR UD ACID RAIN/MERCURY COLLECTORS",005,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,10,Delaware,1007,Lums Pond,003,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,Delaware,1010,BCSP,003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,10,Delaware,1013,"BELLEVUE STATE PARK, FIELD IN SE PORTION OF PARK",003,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,11,District Of Columbia,0043,MCMILLAN  NCore-PAMS,001,9.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
1,11,District Of Columbia,0041,RIVER TERRACE,001,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0,12,Florida,0001,St. Marks Wildlife Refuge,129,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,12,Florida,0012,Tallahassee Community College,073,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,12,Florida,3002,SYDNEY,057,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,12,Florida,2002,Cape Coral - Rotary Park,071,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,Florida,1002,Sanford (Seminole Community College),117,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,12,Florida,0027,Rosenstiel,086,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,12,Florida,0018,Azalea Park,103,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,12,Florida,8002,Dr. Von Mizell-Eula Johnson State Park (prev. John U Lloyd State Park),011,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
